country,alcconsumption
United States of America,9.7
Australia,10.21
Argentina,9.35
Brazil,10.08
Israel,2.52
Samoa,4.51
Saint Vincent and the Grenadines,4.99
Saint Lucia,12.05
Portugal,13.89
Canada,10.2
Iceland,7.38
Poland,14.43
New Zealand,9.99
Bahamas,8.65
Barbados,6.42
Mongolia,3.41
Saint Kitts and Nevis,10.62
Chile,8.81
Austria,12.4
Belarus,18.85
Lithuania,16.3
Malta,4.1
Germany,12.14
Luxembourg,12.84
United Kingdom,13.24
Hungary,16.12
France,12.48
Italy,9.72
Cyprus,8.84
Denmark,12.02
Ireland,14.92
Montenegro,
Trinidad and Tobago,6.16
Finland,13.1
Croatia,15.0
Antigua and Barbuda,8.17
Sweden,9.5
Slovenia,14.94
Latvia,13.45
Greece,11.01
United Arab Emirates,0.52
Romania,16.15
Norway,8.35
Mexico,8.55
Kuwait,0.1
Switzerland,11.41
Panama,7.3
Netherlands,9.75
Kazakhstan,11.1
Estonia,17.24
South Africa,10.16
China,5.56
Dominica,8.68
Cuba,5.12
Jamaica,5.17
Gabon,9.46
Colombia,6.59
Grenada,10.71
Bulgaria,11.4
Uruguay,8.99
Serbia,12.21
Turkmenistan,5.0
Belgium,10.41
Malaysia,0.87
Costa Rica,5.81
Mauritius,3.53
Japan,7.79
Saudi Arabia,0.34
Ukraine,17.47
Ecuador,9.43
Guyana,8.7
Myanmar,0.58
Suriname,6.56
Oman,0.92
Paraguay,7.91
Armenia,13.66
Albania,7.29
Fiji,2.76
Belize,5.92
Bosnia and Herzegovina,9.6
Turkey,3.02
Vanuatu,0.96
Philippines,6.08
Guatemala,7.1
Uzbekistan,3.61
Jordan,0.65
Morocco,1.24
Azerbaijan,13.34
El Salvador,3.99
Honduras,4.43
Georgia,6.66
Namibia,12.09
Timor-Leste,0.74
Mauritania,0.11
Nicaragua,5.21
Kyrgyzstan,4.72
Lebanon,2.3
Kiribati,2.7
Thailand,7.08
Egypt,0.32
Tunisia,1.05
Lesotho,5.56
Botswana,6.97
Peru,6.53
Mali,0.99
Angola,5.57
Sudan,2.56
Algeria,0.69
Maldives,
Liberia,5.07
Zimbabwe,4.96
Haiti,5.92
Benin,2.08
Guinea-Bissau,3.9
Pakistan,0.05
Djibouti,1.87
Kenya,3.88
Senegal,0.51
Sao Tome and Principe,8.45
Tajikistan,3.39
Zambia,3.56
Ghana,3.11
Nepal,2.42
Madagascar,1.32
Burkina Faso,7.32
Cambodia,4.71
Indonesia,0.56
Cameroon,7.9
Togo,1.92
Guinea,0.79
Solomon Islands,1.37
Chad,4.39
Uganda,16.4
Malawi,1.44
Niger,0.34
Sierra Leone,9.48
Mozambique,2.27
Rwanda,9.99
Nigeria,12.72
Ethiopia,4.1
Sri Lanka,0.81
Bangladesh,0.17
India,2.69
