country,kg/person_2017
United States of America,121.0
Australia,114.26
Argentina,112.17
Brazil,99.36
Israel,97.82
Samoa,97.76
Saint Vincent and the Grenadines,93.38
Saint Lucia,91.82
Portugal,90.99
Canada,90.09
Iceland,89.93
Poland,88.67
New Zealand,87.95
Bahamas,87.93
Barbados,87.93
Mongolia,87.9
Saint Kitts and Nevis,87.31
Chile,86.63
Austria,84.94
Belarus,81.57
Lithuania,81.25
Malta,81.1
Germany,80.5
Luxembourg,80.08
United Kingdom,79.86
Hungary,79.74
France,77.97
Italy,77.52
Cyprus,76.87
Denmark,76.87
Ireland,76.85
Montenegro,76.39
Trinidad and Tobago,75.5
Finland,75.38
Croatia,75.19
Antigua and Barbuda,74.56
Sweden,74.04
Slovenia,73.14
Latvia,68.72
Greece,68.65
United Arab Emirates,68.59
Romania,67.87
Norway,67.62
Mexico,67.54
Kuwait,67.46
Switzerland,66.1
Panama,64.67
Netherlands,64.5
Kazakhstan,64.49
Estonia,63.43
South Africa,62.49
China,61.7
Dominica,60.49
Cuba,60.24
Jamaica,58.96
Gabon,58.24
Colombia,57.84
Grenada,57.15
Bulgaria,57.03
Uruguay,56.44
Serbia,56.0
Turkmenistan,55.73
Belgium,54.19
Malaysia,53.12
Costa Rica,51.06
Mauritius,50.95
Japan,49.34
Saudi Arabia,49.17
Ukraine,48.49
Ecuador,46.04
Guyana,45.24
Myanmar,44.69
Suriname,44.32
Oman,43.34
Paraguay,42.35
Armenia,41.96
Albania,41.78
Fiji,41.16
Belize,41.07
Bosnia and Herzegovina,40.98
Turkey,39.97
Vanuatu,38.32
Philippines,36.6
Guatemala,35.7
Uzbekistan,35.39
Jordan,35.31
Morocco,34.62
Azerbaijan,33.91
El Salvador,33.54
Honduras,32.96
Georgia,31.97
Namibia,31.76
Timor-Leste,31.29
Mauritania,31.25
Nicaragua,30.77
Kyrgyzstan,30.21
Lebanon,29.52
Kiribati,29.29
Thailand,28.96
Egypt,28.51
Tunisia,28.45
Lesotho,27.13
Botswana,24.48
Peru,23.78
Mali,23.46
Angola,23.43
Sudan,20.97
Algeria,20.32
Maldives,20.22
Liberia,18.37
Zimbabwe,17.61
Haiti,17.59
Benin,16.82
Guinea-Bissau,16.39
Pakistan,16.01
Djibouti,15.39
Kenya,15.26
Senegal,15.2
Sao Tome and Principe,14.83
Tajikistan,14.73
Zambia,14.19
Ghana,13.82
Nepal,13.79
Madagascar,13.24
Burkina Faso,12.75
Cambodia,12.67
Indonesia,12.42
Cameroon,12.27
Togo,12.1
Guinea,12.04
Solomon Islands,11.75
Chad,11.56
Uganda,11.55
Malawi,10.96
Niger,8.74
Sierra Leone,8.55
Mozambique,8.28
Rwanda,7.93
Nigeria,7.33
Ethiopia,7.2
Sri Lanka,6.5
Bangladesh,4.27
India,3.97
